"","Experiment","Module","ModuleEigenprotein","Sample"
"1","LFQ.intensity.64_167G_30","MEblue",-0.00082312723567011,NA
"2","LFQ.intensity.64_167G_5","MEblue",-0.0165508590472404,NA
"3","LFQ.intensity.64_33G_30","MEblue",0.294002428464995,NA
"4","LFQ.intensity.65_167G_30","MEblue",-0.316419656362901,NA
"5","LFQ.intensity.65_167G_5","MEblue",-0.380770433512889,NA
"6","LFQ.intensity.65_33G_30","MEblue",-0.238385501683949,NA
"7","LFQ.intensity.66_167G_30","MEblue",-0.0256098544530761,NA
"8","LFQ.intensity.66_167G_5","MEblue",-0.00713788092539062,NA
"9","LFQ.intensity.66_33G_30","MEblue",0.184391254732741,NA
"10","LFQ.intensity.67_167G_30","MEblue",0.12236497044552,NA
"11","LFQ.intensity.67_167G_5","MEblue",0.15686650567288,NA
"12","LFQ.intensity.67_33G_30","MEblue",0.476405530422119,NA
"13","LFQ.intensity.68_167G_30","MEblue",-0.142234380634726,NA
"14","LFQ.intensity.68_167G_5","MEblue",-0.146782669700091,NA
"15","LFQ.intensity.68_33G_30","MEblue",0.121720687414473,NA
"16","LFQ.intensity.69_167G_30","MEblue",-0.150390089595088,NA
"17","LFQ.intensity.69_167G_5","MEblue",-0.117718290784184,NA
"18","LFQ.intensity.69_33G_30","MEblue",0.162082711342782,NA
"19","LFQ.intensity.71_167G_30","MEblue",0.0262980127461916,NA
"20","LFQ.intensity.71_167G_5","MEblue",0.0245382803882806,NA
"21","LFQ.intensity.71_33G_30","MEblue",0.241844133735505,NA
"22","LFQ.intensity.72_167G_30","MEblue",-0.00116234947307429,NA
"23","LFQ.intensity.72_167G_5","MEblue",-0.126904745793992,NA
"24","LFQ.intensity.72_33G_30","MEblue",0.166769389128878,NA
"25","LFQ.intensity.73_167G_30","MEblue",-0.209130361852921,NA
"26","LFQ.intensity.73_167G_5","MEblue",-0.187556179069499,NA
"27","LFQ.intensity.73_33G_30","MEblue",0.0902924756303249,NA
"28","LFQ.intensity.64_167G_30","MEbrown",-0.039719925226565,NA
"29","LFQ.intensity.64_167G_5","MEbrown",-0.0354246687353463,NA
"30","LFQ.intensity.64_33G_30","MEbrown",-0.173264793689051,NA
"31","LFQ.intensity.65_167G_30","MEbrown",0.576921277490782,NA
"32","LFQ.intensity.65_167G_5","MEbrown",0.56955305634759,NA
"33","LFQ.intensity.65_33G_30","MEbrown",0.346485044876484,NA
"34","LFQ.intensity.66_167G_30","MEbrown",0.0286342219311287,NA
"35","LFQ.intensity.66_167G_5","MEbrown",-0.0156317327335738,NA
"36","LFQ.intensity.66_33G_30","MEbrown",-0.0681808503270858,NA
"37","LFQ.intensity.67_167G_30","MEbrown",-0.0835990680620964,NA
"38","LFQ.intensity.67_167G_5","MEbrown",-0.0970656673972824,NA
"39","LFQ.intensity.67_33G_30","MEbrown",-0.23519074467868,NA
"40","LFQ.intensity.68_167G_30","MEbrown",0.0179319128016749,NA
"41","LFQ.intensity.68_167G_5","MEbrown",0.0263716760761981,NA
"42","LFQ.intensity.68_33G_30","MEbrown",-0.0524929215888097,NA
"43","LFQ.intensity.69_167G_30","MEbrown",-0.0301647256657373,NA
"44","LFQ.intensity.69_167G_5","MEbrown",-0.0332956926707533,NA
"45","LFQ.intensity.69_33G_30","MEbrown",-0.137360538095475,NA
"46","LFQ.intensity.71_167G_30","MEbrown",-0.0589802060020092,NA
"47","LFQ.intensity.71_167G_5","MEbrown",-0.0412161886519706,NA
