"","x"
"PVEblue",0.417950883503872
"PVEbrown",0.359994233933544
"PVEcyan",0.48673708529416
"PVEdarkgreen",0.412743885147012
"PVEdarkgrey",0.517465366938361
"PVEdarkred",0.508963028428735
"PVEdarkturquoise",0.392988182380503
"PVEgreenyellow",0.383191676422321
"PVEgrey60",0.454700228644147
"PVElightcyan",0.450813409064337
"PVElightgreen",0.505300172243544
"PVElightyellow",0.441342925175803
"PVEmidnightblue",0.563602753339424
"PVEorange",0.512991248151124
"PVEpink",0.461879638071014
"PVEroyalblue",0.474022335247229
"PVEsalmon",0.531290205086989
"PVEtan",0.405484230617872
"PVEturquoise",0.483149970897316
